(    0 ,  350 ),(  200 ,  350 ),  0 ,  0 ,  0         0.9     0.9     0.7     0.9
(    0 ,  350 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.8     0.9
(    0 ,  350 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.9     0.0     0.9
(    0 ,  350 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  350 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  350 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
